tableName,associatedID
ExternalAccount.csv,externalSystemID
ExternalAccount.csv,corporationID
ExternalAccount.csv,accountID
ExternalAccount.csv,modifyingUserID
FieldMapList.csv,fieldMapID
FieldMapList.csv,privateLabelID
FieldMapList.csv,modifyingMasterUserID
Goal.csv,goalID
Goal.csv,goalPeriodID
Goal.csv,goalTypeID
GoalPeriod.csv,goalPeriodID
GoalType.csv,goalTypeID
HideFromSearchList.csv,hideFromSearchID
HideFromSearchList.csv,privateLabelID
HitWord.csv,hitWordID
HitWord.csv,userID
JobCategory.csv,jobPostingID
JobCategory.csv,categoryID
JobOpportunity.csv,jobPostingID
JobOpportunity.csv,userID
JobOpportunity.csv,countryID
JobOpportunity.csv,externalCategoryID
JobOpportunity.csv,clientUserID
JobOpportunity.csv,externalID
JobOpportunity.csv,reportToUserID
JobOpportunity.csv,clientCorporationID
JobOpportunity.csv,responseUserID
JobOpportunity.csv,billRateCategoryID
JobOpportunity.csv,jobPostingUUID
JobOpportunity.csv,workersCompRateID
JobOpportunity.csv,migrateGUID
JobOpportunity.csv,shiftID
JobOpportunity.csv,parentJobPostingID
JobOpportunity.csv,linkedJobPostingID
JobOpportunity.csv,leadUserID
JobOpportunity.csv,primaryBusinessSectorID
JobOpportunity.csv,primaryCategoryID
JobOpportunity.csv,publishedCategoryID
JobOpportunity.csv,branchID
JobPostingEditHistory.csv,jobPostingEditHistoryID
JobPostingEditHistory.csv,jobPostingID
JobPostingEditHistory.csv,updatingUserID
JobPostingEditHistory.csv,migrateGUID
JobPostingEditHistory.csv,transactionID
JobPostingEditHistoryFieldChange.csv,JobPostingEditHistoryFieldChangeID
JobPostingEditHistoryFieldChange.csv,JobPostingEditHistoryID
JobPostingHistory.csv,jobPostingHistoryID
JobPostingHistory.csv,jobPostingID
JobPostingHistory.csv,userID
JobPostingHistory.csv,clientUserID
JobPostingHistory.csv,clientCorporationID
JobPostingHistory.csv,reportToUserID
JobPostingHistory.csv,migrateGUID
JobResponse.csv,jobResponseID
JobResponse.csv,jobPostingID
JobResponse.csv,userID
JobResponse.csv,sendingUserID
JobResponse.csv,migrateGUID
JobResponse.csv,branchID
JobResponseEditHistory.csv,jobResponseEditHistoryID
JobResponseEditHistory.csv,jobResponseID
JobResponseEditHistory.csv,updatingUserID
JobResponseEditHistory.csv,migrateGUID
JobResponseEditHistory.csv,transactionID
JobResponseEditHistoryFieldChange.csv,jobResponseEditHistoryFieldChangeID
JobResponseEditHistoryFieldChange.csv,jobResponseEditHistoryID
JobResponseHistory.csv,jobResponseHistoryID
JobResponseHistory.csv,jobResponseID
JobResponseHistory.csv,userID
JobResponseHistory.csv,migrateGUID
JobResponseHistory.csv,transactionID
JobSkill.csv,jobPostingID
JobSkill.csv,skillID
Layout.csv,LayoutID
Layout.csv,privateLabelID
Lead.csv,leadID
Lead.csv,userID
Lead.csv,clientCorporationID
Lead.csv,recruiterUserID
Lead.csv,externalID
Lead.csv,migrateGUID
LeadAssociation.csv,leadUserID
LeadAssociation.csv,userID
LeadHistory.csv,leadHistoryID
LeadHistory.csv,userID
LeadHistory.csv,clientCorporationID
LeadHistory.csv,migrateGUID
LeadHistory.csv,leadUserID
MessageFolder.csv,messageFolderID
MessageFolder.csv,parentMessageFolderID
MessageFolder.csv,userID
MessageFolder.csv,migrateGUID
MessageRecipient.csv,userMessageID
MessageRecipient.csv,userID
MessageRecipient.csv,messageFolderID
MessageRecipient.csv,sendingUserID
MessageRecipient.csv,migrateGUID
MessageRecipient.csv,scheduleID
MessageRecipient.csv,threadID
MessageTemplate.csv,messageTemplateID
MessageTemplate.csv,userID
MessageTemplateFile.csv,messageTemplateFileID
MessageTemplateFile.csv,messageTemplateID
MessageTemplateFile.csv,ownerUserID
NPSUserInfo.csv,npsUserInfoID
NPSUserInfo.csv,userID
NoteLastModified.csv,NoteLastModifiedID
NoteLastModified.csv,UserCommentID
OAuthConsent.csv,oAuthConsentID
OpportunityHistory.csv,opportunityHistoryID
OpportunityHistory.csv,jobPostingID
OpportunityHistory.csv,userID
OpportunityHistory.csv,migrateGUID
PS_ResumeParse.csv,userID
PS_ResumeParse.csv,userWorkID
PS_ResumeParse.csv,userWorkFileID
PS_TextExtract.csv,userWorkID
PS_TextExtract.csv,userWorkFileID
PS_TextExtract.csv,userID
PerformanceReviewScore.csv,placementID
PerformanceReviewScore.csv,jobPostingID
PerformanceReviewScore.csv,userID
PerformanceReviewScore.csv,invoiceID
PerformanceReviewScore.csv,billingUserID
